song,artist,year
"""Rude Boy""",Rihanna,2010
"""Telephone""",Lady Gaga featuring Beyoncé,2010
"""She Said""",Plan B,2010
"""Dynamite""",Taio Cruz,2010
"""Replay""",Iyaz,2010
"""Firework""",Katy Perry,2010
"""Club Can't Handle Me""",Flo Rida featuring David Guetta,2010
"""Your Song""",Ellie Goulding,2010
"""Ridin' Solo""",Jason Derulo,2010
"""Billionaire""",Travie McCoy featuring Bruno Mars,2010
"""Don't Stop Believin'""",Glee cast,2010
,Journey,2010
"""The Time (Dirty Bit)""",The Black Eyed Peas,2010
"""What's My Name?""",Rihanna featuring Drake,2010
"""Pack Up""",Eliza Doolittle,2010
"""Starstrukk""",3OH!3 featuring Katy Perry,2010
"""Bad Romance""",Lady Gaga,2010
"""Written in the Stars""",Tinie Tempah featuring Eric Turner,2010
"""Teenage Dream""",Katy Perry,2010
"""Cooler than Me""",Mike Posner,2010
"""Not Afraid""",Eminem,2010
"""The Flood""",Take That,2010
"""All Time Low""",The Wanted,2010
"""If We Ever Meet Again""",Timbaland featuring Katy Perry,2010
"""Riverside (Let's Go!)""",Sidney Samson featuring Wizard Sleeve,2010
"""Promise This""",Cheryl Cole,2010
"""In My Head""",Jason Derulo,2010
"""Poker Face""",Lady Gaga,2009
"""I Gotta Feeling""",The Black Eyed Peas,2009
"""Just Dance""",Lady Gaga featuring Colby O'Donis,2009
"""Fight for This Love""",Cheryl Cole,2009
"""The Climb""",Joe McElderry,2009
"""In for the Kill""",La Roux,2009
"""Boom Boom Pow""",The Black Eyed Peas,2009
"""Killing in the Name""",Rage Against the Machine,2009
"""Bad Boys""",Alexandra Burke featuring Flo Rida,2009
"""Meet Me Halfway""",The Black Eyed Peas,2009
"""Number 1""",Tinchy Stryder featuring N-Dubz,2009
"""Sexy Chick""",David Guetta featuring Akon,2009
"""Use Somebody""",Kings of Leon,2009
"""The Fear""",Lily Allen,2009
"""Bonkers""",Dizzee Rascal and Armand Van Helden,2009
"""Beat Again""",JLS,2009
"""Bad Romance""",Lady Gaga,2009
"""Sex on Fire""",Kings of Leon,2009
"""Broken Strings""",James Morrison featuring Nelly Furtado,2009
"""When Love Takes Over""",David Guetta featuring Kelly Rowland,2009
"""Paparazzi""",Lady Gaga,2009
"""Right Round""",Flo Rida featuring Kesha,2009
"""I'm Not Alone""",Calvin Harris,2009
"""Bulletproof""",La Roux,2009
"""Halo""",Beyoncé,2009
"""Jai Ho! (You Are My Destiny)""",A.R. Rahman & The Pussycat Dolls,2009
"""The Official BBC Children in Need Medley""",Peter Kay's Animated All Star Band,2009
"""You Are Not Alone""",The X Factor Finalists 2009,2009
"""Love Story""",Taylor Swift,2009
"""Empire State of Mind""",Jay-Z featuring Alicia Keys,2009
"""Evacuate the Dancefloor""",Cascada,2009
"""Not Fair""",Lily Allen,2009
"""Day 'n' Nite""",Kid Cudi vs. Crookers,2009
"""Single Ladies (Put a Ring on It)""",Beyoncé,2009
"""Release Me""",Agnes,2009
"""Red""",Daniel Merriweather,2009
"""Break Your Heart""",Taio Cruz,2009
"""Supernova""",Mr Hudson featuring Kanye West,2009
"""Sweet Dreams""",Beyoncé,2009
"""I'm Yours""",Jason Mraz,2009
"""Hallelujah""",Alexandra Burke,2008
"""Hero""",The X Factor Finalists 2008,2008
"""Mercy""",Duffy,2008
"""I Kissed a Girl""",Katy Perry,2008
"""Rockstar""",Nickelback,2008
"""American Boy""",Estelle featuring Kanye West,2008
"""Sex on Fire""",Kings of Leon,2008
"""Now You're Gone""",Basshunter,2008
"""4 Minutes""",Madonna featuring Justin Timberlake & Timbaland,2008
"""Black and Gold""",Sam Sparro,2008
"""Low""",Flo Rida featuring T-Pain,2008
"""Dance wiv Me""",Dizzee Rascal featuring Calvin Harris and Chrome,2008
"""Run""",Leona Lewis,2008
"""So What""",Pink,2008
"""Closer""",Ne-Yo,2008
"""If I Were a Boy""",Beyoncé,2008
"""The Promise""",Girls Aloud,2008
"""Disturbia""",Rihanna,2008
"""All Summer Long""",Kid Rock,2008
"""Take a Bow""",Rihanna,2008
"""No Air""",Jordin Sparks featuring Chris Brown,2008
"""That's Not My Name""",The Ting Tings,2008
"""Hot n Cold""",Katy Perry,2008
"""Don't Stop the Music""",Rihanna,2008
"""Viva la Vida""",Coldplay,2008
"""Sweet About Me""",Gabriella Cilmi,2008
"""Chasing Pavements""",Adele,2008
"""The Man Who Can't Be Moved""",The Script,2008
"""What's It Gonna Be""","H ""Two"" O featuring Platnum",2008
"""Warwick Avenue""",Duffy,2008
"""Heartbreaker""",will.i.am featuring Cheryl Cole,2008
"""Love in This Club""",Usher featuring Young Jeezy,2008
"""Womanizer""",Britney Spears,2008
"""Wearing My Rolex""",Wiley,2008
"""Cry for You""",September,2008
"""Human""",The Killers,2008
"""Better in Time""",Leona Lewis,2008
"""Live Your Life""",T.I. featuring Rihanna,2008
"""With You""",Chris Brown,2008
"""Stop and Stare""",OneRepublic,2008
"""Bleeding Love""",Leona Lewis,2007
"""Umbrella""",Rihanna featuring Jay-Z,2007
"""Grace Kelly""",Mika,2007
"""When You Believe""",Leon Jackson,2007
"""Rule the World""",Take That,2007
"""About You Now""",Sugababes,2007
"""The Way I Are""",Timbaland featuring Keri Hilson and D.O.E.,2007
"""(I'm Gonna Be) 500 Miles""",The Proclaimers featuring Brian Potter & Andy Pipkin,2007
"""Valerie""",Mark Ronson featuring Amy Winehouse,2007
"""Ruby""",Kaiser Chiefs,2007
"""How to Save a Life""",The Fray,2007
"""Beautiful Liar""",Beyoncé & Shakira,2007
"""The Sweet Escape""",Gwen Stefani featuring Akon,2007
"""Hey There Delilah""",Plain White T's,2007
"""Beautiful Girls""",Sean Kingston,2007
"""Apologize""",Timbaland featuring OneRepublic,2007
"""Foundations""",Kate Nash,2007
"""Shine""",Take That,2007
"""Stronger""",Kanye West,2007
"""Girlfriend""",Avril Lavigne,2007
"""Big Girls Don't Cry""",Fergie,2007
"""Give It to Me""",Timbaland featuring Nelly Furtado & Justin Timberlake,2007
"""Starz in Their Eyes""",Just Jack,2007
"""With Every Heartbeat""",Robyn with Kleerup,2007
"""Ayo Technology""",50 Cent featuring Justin Timberlake and Timbaland,2007
"""Do You Know? (The Ping Pong Song)""",Enrique Iglesias,2007
"""Cupid's Chokehold""",Gym Class Heroes featuring Patrick Stump,2007
"""What Goes Around... Comes Around""",Justin Timberlake,2007
"""Say It Right""",Nelly Furtado,2007
"""Patience""",Take That,2007
"""Worried About Ray""",The Hoosiers,2007
"""Shut Up and Drive""",Rihanna,2007
"""Glamorous""",Fergie featuring Ludacris,2007
"""Chasing Cars""",Snow Patrol,2007
"""This Ain't a Scene, It's an Arms Race""",Fall Out Boy,2007
"""I Wanna Love You""",Akon featuring Snoop Dogg,2007
"""Heartbroken""",T2 featuring Jodie Aysha,2007
"""Stop Me""",Mark Ronson featuring Daniel Merriweather,2007
"""Destination Calabria""",Alex Gaudino featuring Crystal Waters,2007
"""Don't Matter""",Akon,2007
"""Crazy""",Gnarls Barkley,2006
"""A Moment Like This""",Leona Lewis,2006
"""Hips Don't Lie""",Shakira featuring Wyclef Jean,2006
"""I Don't Feel Like Dancin'""",Scissor Sisters,2006
"""I Wish I Was a Punk Rocker (With Flowers in My Hair)""",Sandi Thom,2006
"""From Paris to Berlin""",Infernal,2006
"""Maneater""",Nelly Furtado,2006
"""Patience""",Take That,2006
"""SOS""",Rihanna,2006
"""SexyBack""",Justin Timberlake,2006
"""Smile""",Lily Allen,2006
"""No Tomorrow""",Orson,2006
"""Nasty Girl""","The Notorious B.I.G. featuring Diddy, Nelly, Jagged Edge & Avery Storm",2006
"""Chasing Cars""",Snow Patrol,2006
"""Everytime We Touch""",Cascada,2006
"""No Promises""",Shayne Ward,2006
"""America""",Razorlight,2006
"""That's My Goal""",Shayne Ward,2006
"""Naïve""",The Kooks,2006
"""Put Your Hands Up for Detroit""",Fedde le Grand,2006
"""Monster""",The Automatic,2006
"""Thunder in My Heart Again""",Meck featuring Leo Sayer,2006
"""Unfaithful""",Rihanna,2006
"""Put Your Records On""",Corinne Bailey Rae,2006
"""You Give Me Something""",James Morrison,2006
"""Welcome to the Black Parade""",My Chemical Romance,2006
"""Smack That""",Akon featuring Eminem,2006
"""Voodoo Child""",Rogue Traders,2006
"""Irreplaceable""",Beyoncé,2006
"""Who Knew""",Pink,2006
"""Beep""",The Pussycat Dolls featuring will.i.am,2006
"""So Sick""",Ne-Yo,2006
"""Ain't No Other Man""",Christina Aguilera,2006
"""Pump It""",The Black Eyed Peas,2006
"""One""",Mary J. Blige and U2,2006
"""Something Kinda Ooooh""",Girls Aloud,2006
"""JCB""",Nizlopi,2006
"""Promiscuous""",Nelly Furtado featuring Timbaland,2006
"""She Moves in Her Own Way""",The Kooks,2006
"""It's Chico Time""",Chico,2006
"""(Is This the Way to) Amarillo""",Tony Christie featuring Peter Kay,2005
"""That's My Goal""",Shayne Ward,2005
"""Axel F""",Crazy Frog,2005
"""You're Beautiful""",James Blunt,2005
"""Don't Cha""",Pussycat Dolls featuring Busta Rhymes,2005
"""All About You""/""You've Got a Friend""",McFly,2005
"""Lonely""",Akon,2005
"""Hung Up""",Madonna,2005
"""You Raise Me Up""",Westlife,2005
"""Push the Button""",Sugababes,2005
"""Bad Day""",Daniel Powter,2005
"""JCB Song""",Nizlopi,2005
"""Ghetto Gospel""",2Pac featuring Elton John,2005
"""Feel Good Inc.""",Gorillaz,2005
"""Switch""",Will Smith,2005
"""I Like the Way""",BodyRockers,2005
"""I Bet You Look Good on the Dancefloor""",Arctic Monkeys,2005
"""Let Me Love You""",Mario,2005
"""Tripping""",Robbie Williams,2005
"""We Belong Together""",Mariah Carey,2005
"""Signs""",Snoop Dogg featuring Justin Timberlake & Charlie Wilson,2005
"""Shot You Down""",Audio Bullys featuring Nancy Sinatra,2005
"""Get Right""",Jennifer Lopez,2005
"""Don't Phunk with My Heart""",The Black Eyed Peas,2005
"""Over and Over""",Nelly featuring Tim McGraw,2005
"""Dare""",Gorillaz featuring Shaun Ryder,2005
"""We Be Burnin'""",Sean Paul,2005
"""Stickwitu""",Pussycat Dolls,2005
"""Candy Shop""",50 Cent featuring Olivia,2005
"""Since U Been Gone""",Kelly Clarkson,2005
"""Lyla""",Oasis,2005
"""My Humps""",The Black Eyed Peas,2005
"""Pon de Replay""",Rihanna,2005
"""Crazy Chick""",Charlotte Church,2005
"""Gold Digger""",Kanye West featuring Jamie Foxx,2005
"""Roc Ya Body (Mic Check 1 2)""",MVP,2005
"""The Importance of Being Idle""",Oasis,2005
"""1 Thing""",Amerie,2005
"""Doctor Pressure""",Mylo vs Miami Sound Machine,2005
"""Dakota""",Stereophonics,2005
"""Do They Know It's Christmas?""",Band Aid 20,2004
"""F**k It (I Don't Want You Back)""",Eamon,2004
"""Cha Cha Slide""",DJ Casper,2004
"""Call on Me""",Eric Prydz,2004
"""Yeah!""",Usher featuring Lil Jon and Ludacris,2004
"""All This Time""",Michelle McManus,2004
"""Left Outside Alone""",Anastacia,2004
"""Mysterious Girl""",Peter André,2004
"""Toxic""",Britney Spears,2004
"""Fuck You Right Back""",Frankee,2004
"""I Don't Wanna Know""",Mario Winans,2004
"""Baby Cakes""",3 of a Kind,2004
"""Take Me to the Clouds Above""",LMC vs U2,2004
"""Milkshake""",Kelis,2004
"""Lose My Breath""",Destiny's Child,2004
"""My Band""",D12,2004
"""These Words""",Natasha Bedingfield,2004
"""Everytime""",Britney Spears,2004
"""Thunderbirds""/""3am""",Busted,2004
"""Dry Your Eyes""",The Streets,2004
"""Lola's Theme""",Shapeshifters,2004
"""In the Shadows""",The Rasmus,2004
"""Just Lose It""",Eminem,2004
"""Thank You""",Jamelia,2004
"""Hey Ya!""",Outkast,2004
"""My Place""/""Flap Your Wings""",Nelly,2004
"""Burn""",Usher,2004
"""Dragostea din tei""",O-Zone,2004
"""Mad World""",Michael Andrews featuring Gary Jules,2004
"""Against All Odds""",Steve Brookstein,2004
"""Somebody to Love""",Boogie Pimps,2004
"""5 Colours in Her Hair""",McFly,2004
"""Trick Me""",Kelis,2004
"""I'll Stand by You""",Girls Aloud,2004
"""Changes""",Ozzy Osbourne and Kelly Osbourne,2004
"""Leave (Get Out)""",JoJo,2004
"""Dip It Low""",Christina Milian,2004
"""Hotel""",Cassidy,2004
"""This Love""",Maroon 5,2004
"""Some Girls""",Rachel Stevens,2004
"""Where Is the Love?""",The Black Eyed Peas,2003
"""Spirit in the Sky""",Gareth Gates with the Kumars,2003
"""Ignition (Remix)""",R. Kelly,2003
"""Mad World""",Michael Andrews featuring Gary Jules,2003
"""Leave Right Now""",Will Young,2003
"""All the Things She Said""",t.A.T.u.,2003
"""Changes""",Ozzy Osbourne and Kelly Osbourne,2003
"""Breathe""",Blu Cantrell featuring Sean Paul,2003
"""Make Luv""",Room 5 featuring Oliver Cheatham,2003
"""Christmas Time (Don't Let the Bells End)""",The Darkness,2003
"""Bring Me to Life""",Evanescence,2003
"""White Flag""",Dido,2003
"""In da Club""",50 Cent,2003
"""Turn Me On""",Kevin Lyttle,2003
"""Crazy in Love""",Beyoncé featuring Jay-Z,2003
"""Move Your Feet""",Junior Senior,2003
"""I'm Your Man""",Shane Richie,2003
"""Stop Living the Lie""",David Sneddon,2003
"""Be Faithful""",Fatman Scoop featuring The Crooklyn Clan,2003
"""Shut Up""",The Black Eyed Peas,2003
"""Sound of the Underground""",Girls Aloud,2003
"""Sweet Dreams My LA Ex""",Rachel Stevens,2003
"""Beautiful""",Christina Aguilera,2003
"""Pretty Green Eyes""",Ultrabeat,2003
"""Lose Yourself""",Eminem,2003
"""Superstar""",Jamelia,2003
"""Are You Ready for Love?""",Elton John,2003
"""Cry Me a River""",Justin Timberlake,2003
"""All I Have""",Jennifer Lopez featuring LL Cool J,2003
"""Stole""",Kelly Rowland,2003
"""Mandy""",Westlife,2003
"""Fly on the Wings of Love""",XTM & DJ Chucky presents Annia,2003
"""I Believe in a Thing Called Love""",The Darkness,2003
"""Year 3000""",Busted,2003
"""If You're Not the One""",Daniel Bedingfield,2003
"""Proper Crimbo""",Bo Selecta,2003
"""The Fast Food Song""",Fast Food Rockers,2003
"""I Know What You Want""",Busta Rhymes and Mariah Carey featuring Flipmode Squad,2003
"""Baby Boy""",Big Brovaz,2003
"""Scandalous""",Mis-Teeq,2003
"""Anything Is Possible""/""Evergreen""",Will Young,2002
"""Unchained Melody""",Gareth Gates,2002
"""Hero""",Enrique Iglesias,2002
"""Dilemma""",Nelly featuring Kelly Rowland,2002
"""A Little Less Conversation""",Elvis vs JXL,2002
"""Anyone of Us (Stupid Mistake)""",Gareth Gates,2002
"""Whenever, Wherever""",Shakira,2002
"""The Ketchup Song (Aserejé)""",Las Ketchup,2002
"""Just a Little""",Liberty X,2002
"""Without Me""",Eminem,2002
"""If Tomorrow Never Comes""",Ronan Keating,2002
"""How You Remind Me""",Nickelback,2002
"""The Tide Is High (Get the Feeling)""",Atomic Kitten,2002
"""Kiss Kiss""",Holly Valance,2002
"""The Logical Song""",Scooter,2002
"""Light My Fire""",Will Young,2002
"""Sound of the Underground""",Girls Aloud,2002
"""Colourblind""",Darius,2002
"""Heaven""",DJ Sammy & Yanou featuring Do,2002
"""Me Julie""",Ali G and Shaggy,2002
"""Get the Party Started""",Pink,2002
"""The Long and Winding Road""/""Suspicious Minds""",Will Young and Gareth Gates/Gareth Gates,2002
"""One Step Closer""",S Club Juniors,2002
"""Cheeky Song (Touch My Bum)""",The Cheeky Girls,2002
"""If You're Not the One""",Daniel Bedingfield,2002
"""Something""",Lasgo,2002
"""Hot in Herre""",Nelly,2002
"""Freak like Me""",Sugababes,2002
"""Nu Flow""",Big Brovaz,2002
"""Dirrty""",Christina Aguilera featuring Redman,2002
"""Round Round""",Sugababes,2002
"""Lose Yourself""",Eminem,2002
"""Like I Love You""",Justin Timberlake,2002
"""Sorry Seems to Be the Hardest Word""",Blue featuring Elton John,2002
"""It's OK!""",Atomic Kitten,2002
"""Complicated""",Avril Lavigne,2002
"""Addicted to Bass""",Puretone,2002
"""Sacred Trust""/""After You're Gone (I'll Still Be Loving You)""",One True Voice,2002
"""Hero""",Chad Kroeger featuring Josey Scott,2002
"""World of Our Own""",Westlife,2002
"""It Wasn't Me""",Shaggy featuring Rikrok,2001
"""Pure and Simple""",Hear'Say,2001
"""Can't Get You Out of My Head""",Kylie Minogue,2001
"""Whole Again""",Atomic Kitten,2001
"""Hey Baby (Uhh, Ahh)""",DJ Ötzi,2001
"""Uptown Girl""",Westlife,2001
"""Don't Stop Movin'""",S Club 7,2001
"""Angel""",Shaggy featuring Rayvon,2001
"""Teenage Dirtbag""",Wheatus,2001
"""Because I Got High""",Afroman,2001
"""Do You Really Like It?""",DJ Pied Piper and the Masters of Ceremonies,2001
"""Clint Eastwood""",Gorillaz,2001
"""It's Raining Men""",Geri Halliwell,2001
"""Lady Marmalade""","Christina Aguilera, Lil' Kim, Mýa and Pink",2001
"""Eternal Flame""",Atomic Kitten,2001
"""Gotta Get Thru This""",Daniel Bedingfield,2001
"""Mambo No. 5""",Bob the Builder,2001
"""What Would You Do?""",City High,2001
"""21 Seconds""",So Solid Crew,2001
"""Eternity""/""The Road to Mandalay""",Robbie Williams,2001
"""Have You Ever""",S Club 7,2001
"""Castles in the Sky""",Ian Van Dahl,2001
"""Queen of My Heart""",Westlife,2001
"""Out of Reach""",Gabrielle,2001
"""Touch Me""",Rui da Silva featuring Cassandra,2001
"""Perfect Gentleman""",Wyclef Jean,2001
"""Rollin'""",Limp Bizkit,2001
"""Follow Me""",Uncle Kracker,2001
"""Let's Dance""",Five,2001
"""Somethin' Stupid""",Robbie Williams and Nicole Kidman,2001
"""I'm Like a Bird""",Nelly Furtado,2001
"""Smooth Criminal""",Alien Ant Farm,2001
"""Heaven Is a Halfpipe""",OPM,2001
"""Starlight""",The Supermen Lovers featuring Mani Hoffman,2001
"""Survivor""",Destiny's Child,2001
"""Purple Pills""",D12,2001
"""Chain Reaction""/""One for Sorrow"" (remix)",Steps,2001
"""Butterfly""",Crazy Town,2001
"""Always Come Back to Your Love""",Samantha Mumba,2001
"""Another Chance""",Roger Sanchez,2001
"""Can We Fix It?""",Bob the Builder,2000
"""Pure Shores""",All Saints,2000
"""It Feels So Good"" (remix)",Sonique,2000
"""Who Let the Dogs Out?""",Baha Men,2000
"""Rock DJ""",Robbie Williams,2000
"""Stan""",Eminem featuring Dido,2000
"""Toca's Miracle""",Fragma,2000
"""Groovejet (If This Ain't Love)""",Spiller featuring Sophie Ellis-Bextor,2000
"""Never Had a Dream Come True""",S Club 7,2000
"""Fill Me In""",Craig David,2000
"""Reach""",S Club 7,2000
"""Can't Fight the Moonlight""",LeAnn Rimes,2000
"""Rise""",Gabrielle,2000
"""The Real Slim Shady""",Eminem,2000
"""Oops!... I Did It Again""",Britney Spears,2000
"""Lady (Hear Me Tonight)""",Modjo,2000
"""7 Days""",Craig David,2000
"""Never Be the Same Again""",Melanie C featuring 'Left Eye' Lopes,2000
"""American Pie""",Madonna,2000
"""The Bad Touch""",Bloodhound Gang,2000
"""Out of Your Mind""",Truesteppers and Dane Bowers featuring Victoria Beckham,2000
"""Life Is a Rollercoaster""",Ronan Keating,2000
"""Freestyler""",Bomfunk MCs,2000
"""Music""",Madonna,2000
"""Independent Women (Part 1)""",Destiny's Child,2000
"""Sandstorm""",Darude,2000
"""I Turn to You"" (remix)",Melanie C,2000
"""Against All Odds""",Mariah Carey featuring Westlife,2000
"""Thong Song""",Sisqó,2000
"""Movin' Too Fast""",Artful Dodger featuring Romina Johnson,2000
"""Don't Call Me Baby""",Madison Avenue,2000
"""Born to Make You Happy""",Britney Spears,2000
"""Breathless""",The Corrs,2000
"""Number One""",Tweenies,2000
"""My Love""",Westlife,2000
"""Go Let It Out""",Oasis,2000
"""Flowers""",Sweet Female Attitude,2000
"""Kernkraft 400""",Zombie Nation,2000
"""What Makes a Man""",Westlife,2000
"""You See the Trouble with Me""",Black Legend,2000
